Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent,Country
180,Clemson University,0.0,1.9598549990820853,0.0,6.220112893642304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
181,Pontificia Universidad Catolica de Chile,0.0,2.583333333333333,0.0,1.684523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South America,Chile
182,THWS,0.0,0.45,0.0,2.499999999999999,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Germany
183,IIIT Hyderabad,0.0,2.625,0.0,11.042929292929292,1.6666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,India
184,Chongqing University,0.0,0.9896825396825396,0.0,1.226190476190476,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,China
185,IIIT Delhi,0.0,0.0,0.0,5.0,0.7075757575757575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,India
186,Yale University,0.0,41.19358974358976,0.0,18.482575757575752,22.971428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,United States
187,Ariel University,0.0,0.04,0.0,1.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
188,Bar-Ilan University,0.0,18.13523809523809,0.0,26.324206349206342,35.29954212454212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Israel
189,Koç University,0.0,0.8500000000000001,0.0,6.043589743589744,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,Turkey
