Full Name,Normalized Score
Vishal M Patel,0.25
Ren ´e Vidal,0.25
Ferdinando S Samaria,0.25
Andy C Harter,0.25
Paolo Favaro,0.25
Yanping Fu,0.04
Qingan Yan,0.04
Long Yang,0.04
Jie Liao,0.04
Chunx- ia Xiao,0.04
István Kispál,0.25
Ern Jeges,0.25
Chiraz BenAbdelkader,0.25
Yaser Yacoob,0.25
Yu Chai,0.25
Xiaojing Cao,0.25
Antonio Criminisi,0.1111111111111111
Ian Reid,0.1111111111111111
Andrew Zisserman,0.1111111111111111
Yulun Zhang,0.04
Yapeng Tian,0.04
Yu Kong,0.04
Bineng Zhong,0.04
Yun Fu,0.04
Vivek Boominathan,0.1111111111111111
Kaushik Mitra,0.1111111111111111
Ashok Veeraragha- van,0.1111111111111111
Tao Dai,0.04
Jianrui Cai,0.04
Yongbing Zhang,0.04
Shu-Tao Xia,0.04
Lei Zhang,0.04
Li Ding,0.25
Chenliang Xu,0.25
Hilde Kuehne,0.1111111111111111
Ali Arslan,0.1111111111111111
Thomas Serre,0.1111111111111111
Unaiza Ahsan,0.1111111111111111
Rishi Madhok,0.1111111111111111
Irfan Essa,0.1111111111111111
Min-Hung Chen,0.1111111111111111
Zsolt Kira,0.1111111111111111
Ghassan AlRegib,0.1111111111111111
Bruce G Baumgart,1.0
Brett Allen,0.0625
Brian Curless,0.0625
Zoran Popovi ´c,0.0625
Jules Bloomenthal,0.25
Ken Shoemake,0.25
Bo Geng,0.1111111111111111
Dacheng Tao,0.1111111111111111
Chao Xu,0.1111111111111111
Rui Gong,0.0625
Wen Li,0.0625
Yuhua Chen,0.0625
Stephan R. Richter,0.0625
Vibhav Vineet,0.0625
Stefan Roth 0001,0.0625
Marius Cordts,0.012345679012345678
Mohamed Omran,0.012345679012345678
Sebastian Ramos,0.012345679012345678
Timo Rehfeld,0.012345679012345678
Markus Enzweiler,0.012345679012345678
Rodrigo Benenson,0.012345679012345678
Uwe Franke,0.012345679012345678
Stefan Roth,0.012345679012345678
Liang Du,0.015625
Jingang Tan,0.015625
Hongye Yang,0.015625
Jianfeng Feng,0.015625
Xianyong Xue,0.015625
Qibao Zheng,0.015625
Xiaoqing Ye,0.015625
Xiaolin Zhang,0.015625
Oren Dovrat,0.1111111111111111
Itai Lang,0.1111111111111111
Shai Avidan,0.1111111111111111
Yuval Eldar,0.0625
Michael Lindenbaum,0.0625
Moshe Porat,0.0625
Yehoshua Y. Zeevi,0.0625
Jacob Goldberger,0.0625
Sam Roweis,0.0625
Geoff Hinton,0.0625
Ruslan Salakhutdinov,0.0625
Yangyan Li,0.027777777777777776
Rui Bu,0.027777777777777776
Mingchao Sun,0.027777777777777776
Wei Wu,0.027777777777777776
Xinhan Di,0.027777777777777776
Baoquan Chen,0.027777777777777776
Panos Achlioptas,0.0625
Olga Diamanti,0.0625
Ioannis Mitliagkas,0.0625
Leonidas J. Guibas,0.0625
Eliane Maria Loiola,0.04
Nair Maria Maia de Abreu,0.04
Paulo Oswaldo Boaventura-Netto,0.04
Peter Hahn,0.04
Tania Querido,0.04
Relja Arandjelovi c,0.25
Peter W Battaglia,0.01
Jessica B Hamrick,0.01
Victor Bapst,0.01
Alvaro Sanchez-Gonzalez,0.01
Vinicius Zambaldi,0.01
Mateusz Malinowski,0.01
Andrea Tacchetti,0.01
David Raposo,0.01
Adam Santoro,0.01
Ryan Faulkner,0.01
Alexander C Berg,0.1111111111111111
Tamara L Berg,0.1111111111111111
Mark Everingham,0.04
Christopher KI Williams,0.04
John Winn,0.04
Yaroslav Ganin,0.015625
Evgeniya Ustinova,0.015625
Hana Ajakan,0.015625
Pascal Germain,0.015625
Hugo Larochelle,0.015625
François Laviolette,0.015625
Mario Marchand,0.015625
Victor Lempitsky,0.015625
Mingsheng Long,0.0625
Zhangjie Cao,0.0625
Jianmin Wang,0.0625
Michael I Jordan,0.0625
Yingwei Pan,0.027777777777777776
Ting Yao,0.027777777777777776
Yehao Li,0.027777777777777776
Yu Wang,0.027777777777777776
Chong-Wah Ngo,0.027777777777777776
Tao Mei,0.027777777777777776
Kuniaki Saito,0.0625
Yoshitaka Ushiku,0.0625
Tatsuya Harada,0.0625
Kate Saenko,0.0625
Chin-Chuan Han,0.0625
Hong-Yuan Mark Liao,0.0625
Gwo-Jong Yu,0.0625
Liang-Hua Chen,0.0625
Gillian Rhodes,0.1111111111111111
Alex Sumich,0.1111111111111111
Graham Byatt,0.1111111111111111
Zhanxiong Wang,0.027777777777777776
Keke He,0.027777777777777776
Yanwei Fu,0.027777777777777776
Rui Feng,0.027777777777777776
Yu-Gang Jiang,0.027777777777777776
Xiangyang Xue,0.027777777777777776
Xiang Wu,0.0625
Ran He,0.0625
Tieniu Tan,0.0625
Xuelin Qian,0.02040816326530612
Wenxuan Wang,0.02040816326530612
Tao Xiang,0.02040816326530612
Yang Wu,0.02040816326530612
Ariel Shamir,0.25
David Bau,0.02040816326530612
Hendrik Strobelt,0.02040816326530612
Bolei Zhou,0.02040816326530612
Joshua B. Tenenbaum,0.02040816326530612
William T. Freeman,0.02040816326530612
Antonio Torralba 0001,0.02040816326530612
Aravindh Mahendran,0.25
Xi Chen 0022,0.027777777777777776
Yan Duan,0.027777777777777776
Rein Houthooft,0.027777777777777776
John Schulman,0.027777777777777776
Tiago Freitas Pereira,0.02040816326530612
Jukka Komulainen,0.02040816326530612
André Anjos,0.02040816326530612
José Mario De Martino,0.02040816326530612
Abdenour Hadid,0.02040816326530612
Matti Pietikäinen,0.02040816326530612
Sébastien Marcel,0.02040816326530612
Felix Biggs,0.04
Antonin Schrab,0.04
Arthur Gretton,0.04
Xuesong Niu,0.0625
Hu Han 0001,0.0625
Xilin Chen 0001,0.0625
Aleksandr Parkin,0.25
Oleg Grinchuk,0.25
Irina Higgins,0.015625
Lo ¨ıc Matthey,0.015625
Arka Pal,0.015625
Christopher Burgess,0.015625
Matthew M Botvinick,0.015625
Shakir Mohamed,0.015625
Alexander Lerchner,0.015625
Gao Huang,0.0625
Zhuang Liu,0.0625
Laurens Van Der Maaten,0.0625
Kil- ian Q Weinberger,0.0625
Takuhiro Kaneko,0.1111111111111111
Weixin Li,0.1111111111111111
Vijay Mahadevan,0.1111111111111111
Nuno Vasconcelos,0.1111111111111111
Emile Mathieu,0.0625
Tom Rainforth,0.0625
Siddharth Narayanaswamy,0.0625
Yee Whye Teh,0.0625
1k,1.0
Mirela Ben-Chen,0.1111111111111111
Oﬁr Weber,0.1111111111111111
Craig Gotsman,0.1111111111111111
Cheng Shi12,0.027777777777777776
Chun Yuan,0.027777777777777776
Jiayin Cai,0.027777777777777776
Zhuobin Zheng12,0.027777777777777776
Yangyang Cheng12,0.027777777777777776
Zhihui Lin12,0.027777777777777776
Xiangyu Zhang,0.0625
Xun Huang,0.0625
Ming-Yu Liu,0.0625
Serge Belongie,0.0625
Takeru Miyato,0.25
Masanori Koyama,0.25
Bob D de Vos,0.04
Floris F Berendsen,0.04
Max A Viergever,0.04
Mar- ius Staring,0.04
Ivana I ˇsgum,0.04
Shaoya Guan,0.027777777777777776
Cai Meng,0.027777777777777776
Yi Xie,0.027777777777777776
Qi Wang,0.027777777777777776
Kai Sun,0.027777777777777776
Tianmiao Wang,0.027777777777777776
Rana Hanocka,0.027777777777777776
Noa Fish,0.027777777777777776
Zhenhua Wang,0.027777777777777776
Raja Giryes,0.027777777777777776
Shachar Fleishman,0.027777777777777776
Daniel Cohen-Or,0.027777777777777776
Stefan Klein,0.04
Marius Staring,0.04
Keelin Murphy,0.04
Josien PW Pluim,0.04
Li Deng,1.0
Fuxin Li,0.04
